Paper Title,Author,Journal/Conference,Publish Date,Citation Count,Selection Rationale,Keywords,Abstract,Paper URL
Harness as an Asset: Enforcing Determinism via the Convergent AI Agent Framework (CAAF),Tianbao Zhang,,2026-04-18,0,"하네스를 버전관리·동결·RBAC 거버넌스 하의 기업 자산으로 취급. Change Approval Board, 테스트 주도 검증 후 동결, UAI 판정의 결정론적 증거 추적 등이 HSIL MERGE의 '승인 게이트 필수' 원칙(Tier B/C)과 정합함. LLM 기반 평가의 0% 역설 검출이 Oracle 검증의 필요성을 실증.",harness as asset/RBAC/approval board/determinism,"LLM Agent Frameworks
Prompt Engineering treats the LLM as a black-box stochastic optimizer, refining inputs to maximize the probability of a desirable output distribution. CAAF explicitly supersedes this approach: rather than optimizing the input to a single inference, it applies a formal cybernetic control loop to the output across multiple iterations. ReAct [yao2023react] introduced the ThoughtActionObservation loop. CAAF extends this paradigm by externalizing the “Observation” phase into a computationally isolated, deterministic Reviewer—enforcing the Strict Role Isolation that [huang2024cannot] demonstrate is necessary for reliable complex reasoning. Orchestration and Multi-Agent Frameworks. LangGraph [langgraph2024] provides durable graph-based orchestration but admits “Node Logic Leakage” absent manual per-node guards. AutoGen [wu2023autogen] and Multiagent Debate [du2024improving] enable social-handoff actor patterns; in constraint-satisfaction settings these are susceptible to Stochastic Oscillation (Section 6) and False Consensus (Section 8). CAAF replaces qualitative social handoffs with unarguable semantic gradients mechanically mapped to UAI results. AgentForge [jafari2026agentforge] represents a recent class of lightweight modular agent frameworks that compose skills as a DAG with YAML-based configuration; CAAF complements this direction by adding a deterministic external validator (UAI) and a convergence loop on top of the same compositional primitives. Recursive Context Decomposition. Recursive task decomposition with isolated subcontexts has become a commodity primitive, formalized recently as Recursive Language Models [zhang2025recursivelm] and shipped in production developer-facing agent SDKs. CAAF’s RAD contribution is the harness coupling described in Section 3.2: each isolated subcontext receives only the harness slice declared in its scope, so isolation functions as a compliance firewall, not just a context-window economy measure.",https://arxiv.org/abs/2604.17025
Measuring the Permission Gate: A Stress-Test Evaluation of Claude Code's Auto Mode,"Zimo Ji, Zongjie Li, Wenyuan Jiang, Yudong Gao, Shuai Wang",,2026-04-04,0,"Claude Code 자동 모드의 3계층 권한 구조(Tier 1: 읽기, Tier 2: 프로젝트 내 파일 편집, Tier 3: 쉘 명령)를 스트레스 테스트. Tier 2 커버리지 갭(파일 편집으로 상태 변경 시 분류기 우회, 81.0% FNR)이 HSIL Editable Surface Tier의 설계 의사결정에 직접적 시사점을 제공.",permission tiers/coverage gap/scope escalation,"Conclusion
We present a stress-test evaluation of Claude Code’s auto mode permission system, focusing on the scope escalation threat category with deliberately ambiguous authorization tasks. Our 128-prompt benchmark, evaluated at the action level across 253 state-changing operations, yields two complementary findings. First, the end-to-end FNR is 81.0% on this targeted workload; but even restricting to the 160 actions the classifier actually evaluates (Tier 3), the FNR remains 70.3% with an FPR of 31.9%, indicating that the classifier shows reduced accuracy on scope-boundary reasoning tasks even on actions it evaluates. Second, 36.8% of all state-changing actions fall outside the classifier’s scope through Tier 2 (in-project file edits), a structural coverage gap that produces 100% FNR on those actions by construction. While our benchmark uses synthetic DevOps environments, the underlying mechanism, tool substitution (where agents achieve state changes through file edits when CLIs are unavailable), is a general property of agentic systems that may inform the design of future permission gates.",https://arxiv.org/abs/2604.04978
Agent-Testing Agent: A Meta-Agent for Automated Testing and Evaluation of Conversational AI Agents,"Sameer Komoravolu, Khalil Mrini",ArXiv.org,2025-08-24,0,에이전트 약점을 체계적으로 발굴하는 메타 에이전트. Weakness Planning 단계(코드 검사+도메인 지식으로 실패 가설 구축→우선순위화)와 Weakness Execution(적대적 프로빙)이 HSIL MINE 단계와 직접 대응. 글로벌 메모리로 동기화된 병렬 스레드 구조도 특징적.,weakness planning/adversarial probing/failure mining,"Weakness Planning


The weakness planning phase of the ATA is responsible for constructing a theory of where and how an agent is likely to fail.Rather than relying on fixed benchmarks, the ATA builds this theory from scratch-through interaction with the user, structural inspection of the agent's codebase, and retrieval of domain-specific knowledge.These components collectively populate a shared memory structure, which is then used to reason through plausible weaknesses using chain-ofthought prompting.The result is a validated, prioritized list of failure types that the ATA can systematically probe in the testing phase.This is illustrated by figure 2.",https://arxiv.org/abs/2508.17393
Where LLM Agents Fail and How They can Learn From Failures,"Kunlun Zhu, Zijia Liu, Bingxuan Li, Muxin Tian, Yingxuan Yang, Jiaxun Zhang, Pengrui Han, Qipeng Xie, Fuyang Cui, Weijia Zhang, Xiaoteng Ma, Xiaodong Yu, Gowtham Ramesh, Jialian Wu, Zicheng Liu, Pan Lu, James Zou, Jiaxuan You",ArXiv.org,2025-09-29,21,"에이전트 실패의 발생 단계(초기/중간/후기)를 분석하고, 실패에서 학습하기 위한 3단계 세분화 프레임워크(Critical Error Detection→Taxonomy→Fine-grained Analysis)를 제안. HSIL MINE의 '재발 패턴 분류' 및 ATTRIB의 '원인 귀속'과 정합함.",failure learning/error taxonomy/actionable feedback,"Stage 1. Stage 2. Stage 3. Actionable Feedback Iteration 1 Iteration 2~N

AnalysisCritical Error DetectionRepeat if or within max num of attempts
TaxonomyIteratively Debugging Fine-grained Analysis",https://arxiv.org/abs/2509.25370
Demand-Driven Context: A Methodology for Building Enterprise Knowledge Bases Through Agent Failure,"Raj Navakoti, Saideep Navakoti",ArXiv.org,2026-03-14,0,에이전트 실패를 기업 지식 큐레이션의 1차 신호로 사용하는 DDC 방법론.TDD와 유사하게 '실패하는 문제→최소 컨텍스트 큐레이션' 사이클. HSIL PLAYBOOK의 '실패에서 교훈 추출'과 MINE의 '지식 갭 식별'이 결합된 형태.,demand-driven context/failure-driven learning/knowledge curation,"Introduction
Give a large language model a problem in software architecture, medicine, or law, and it performs remarkably well. Give it a problem specific to your enterprise—one involving your internal systems, your domain-specific terminology, your operational workflows, and the decisions that shaped them—and it performs like a new employee on their first day. Expert reasoning. Zero institutional memory. This is not a model capability problem. Modern LLMs demonstrate strong general expertise across domains—engineering, operations, analysis—and powerful processing capabilities in reasoning and synthesis. Where they consistently score zero is on enterprise domain knowledge: the terminology, system interdependencies, operational procedures, business rules, and institutional history that exist largely as tribal knowledge distributed across wikis, chat threads, runbooks, and the heads of experienced staff. The enterprise AI community has recognized this gap. Retrieval-Augmented Generation (RAG) attempts to bridge it by retrieving relevant documents at query time [lewis2020rag]. But RAG retrieves—it does not curate. It surfaces existing documents without verifying their relevance, currency, or completeness. When the knowledge exists only as tribal knowledge—undocumented, fragmented, or outdated—RAG has nothing to retrieve. More recently, agentic approaches have emerged. ACE [zhang2025ace] treats LLM contexts as evolving “playbooks” that improve through automated feedback loops. Reflexion [shinn2023reflexion] enables agents to learn from their own failures. ExpeL [zhao2023expel] extracts reusable insights from agent experience. These systems optimize how agents behave—execution strategies, tool-use patterns, reasoning heuristics. But they cannot acquire the enterprise domain knowledge that makes those strategies meaningful. An agent that has learned excellent reasoning strategies still cannot answer “Why does the nightly batch job retry three times before escalating to the on-call team?” without someone providing that context. We propose Demand-Driven Context (DDC), a methodology that treats agent failure as the primary signal for what enterprise knowledge to curate. The core insight is borrowed from Test-Driven Development [beck2002tdd]: just as TDD writes a failing test before writing code, DDC gives an agent a failing problem before curating context. The agent’s failure identifies precisely what domain knowledge is missing. A human expert then curates only the minimum context needed for the agent to succeed. This curated knowledge is structured using a typed entity meta-model, stored as version-controlled markdown files, and accumulated across cycles. DDC makes three claims: Agent failure is a reliable signal for identifying knowledge gaps in enterprise domains. Human-curated, demand-driven knowledge is more efficient and more accurate than top-down documentation or automated context optimization. Convergence: after 20–30 DDC cycles for a given domain role, the knowledge base stabilizes—each new problem requires fewer new entities because previous cycles already curated overlapping knowledge. In this paper, we describe the DDC methodology (Section ), demonstrate it through a worked example in retail order fulfillment incident management (Section ), present a scaling architecture for enterprise adoption (Section ), and discuss limitations and future work (Sections –).",https://arxiv.org/abs/2603.14057
AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering,Di Zhang,ArXiv.org,2026-01-08,2,"에이전트 개선을 릴리즈 엔지니어링으로 재구성: 단일 캐논컬 에이전트 라인, RC 기반 승격, P→F/F→P flip-centered 게이팅. 구현-블라인드 증상 수준 비평가, 실행 가능 진단 스크립트 등이 HSIL REGRESS의 flip 검증 및 MERGE의 승격 체계와 정합함.",release engineering/flip-centered gating/RC promotion,"Recent progress in large language model (LLM) agents has largely focused on embedding self-improvement mechanisms inside the agent or searching over many concurrent variants. While these approaches can raise aggregate scores, they often yield unstable and hard-to-audit improvement trajectories, making it difficult to guarantee non-regression or to reason about failures across versions. We reframe agent improvement as \textbf{release engineering}: agents are treated as shippable artifacts, and improvement is externalized into a regression-aware release pipeline. We introduce \textbf{AgentDevel}, a release engineering pipeline that iteratively runs the current agent, produces implementation-blind, symptom-level quality signals from execution traces, synthesizes a single release candidate (RC) via executable diagnosis, and promotes it under flip-centered gating. AgentDevel features three core designs: (i) an implementation-blind LLM critic that characterizes failure appearances without accessing agent internals, (ii) script-based executable diagnosis that aggregates dominant symptom patterns and produces auditable engineering specifications, and (iii) flip-centered gating that prioritizes pass to fail regressions and fail to pass fixes as first-class evidence. Unlike population-based search or in-agent self-refinement, AgentDevel maintains a single canonical version line and emphasizes non-regression as a primary objective. Experiments on execution-heavy benchmarks demonstrate that AgentDevel yields stable improvements with significantly fewer regressions while producing reproducible, auditable artifacts. Overall, AgentDevel provides a practical development discipline for building, debugging, and releasing LLM agents as software development.",https://arxiv.org/abs/2601.04620
Forage V2: Knowledge Evolution and Transfer in Autonomous Agent Organizations,Huaqing Xie,,2026-04-21,0,Generation 3 하네스로 '평가 기준 자체를 자율 발견·정제'하는 Forage V2. 조직적 경험(읽을 수 있는 지식 문서) vs 개별 경험의 구분이 HSIL PLAYBOOK의 조직적 지식과 공명.강약 전이(Opus→Sonnet 시딩)도 MERGE의 신뢰 전파와 연관.,organizational knowledge/evaluation discovery/knowledge transfer,"A Taxonomy of Agent Self-Deception
The isolation breach is one instance of a broader pattern. Across our experiments and V1 baselines, we observe four distinct modes of agent self-deception: The first two modes are structural—they arise from combining executor and evaluator roles in a single agent. Method isolation eliminates them by design. The third is subtler: even with isolation, the Evaluator may prematurely accept its own evaluation criteria as complete. The exploration drive mechanism (§)—particularly the prompt-level self-audit checklist—forces the Evaluator to confront this tendency. The fourth mode is unique to V2: knowledge accumulation creates a new attack surface where a single breach can propagate through organizational memory. Physical workspace isolation and append-only versioning address it, but the general principle—that accumulated knowledge amplifies both good and bad patterns—is an inherent tension in learning organizations.",https://arxiv.org/abs/2604.19837
Herding CATs: ALARA for Agent Harness Engineering in Portable Composable Multi-Agent Teams,"Christopher J. Agostino, Nayan D'Souza",,2026-03-20,0,Jinx 리스트가 도구 카탈로그이자 권한 집합을 동시에 구성: 프롬프트로 '제한해달라'는 요청 대신 스키마에서 도구를 원천 제거. 이 구조적 권한 적용이 HSIL Editable Surface Tier의 'allowlist 기반 바운디드 에디트'와 정합함. NPC 파일 편집으로 자율성 연속 조절 가능.,structural permission/Jinx list/allowlist/autonomy control,"NPCs
An NPC file defines an agent through a name, a natural-language directive, a model and provider specification, and a Jinx list that simultaneously constitutes the tool catalog and the permission set. We use the Jinx list to scope each agent to the minimum set of tools its role requires, an intervention motivated by the finding that tool selection accuracy undergoes a structural phase transition as catalog size grows [shen2023taskbench, li2026single] and that agents operating with the smallest set of high-signal tokens outperform those given overlapping tools [anthropic2024agents]. The Jinx list enforces its constraint structurally rather than interpretively. A prose instruction file can request that an agent limit itself to certain tools, but the model is free to ignore or misinterpret the instruction, and attention dilution makes this increasingly likely over long contexts [liu2023lost]; tools not on the Jinx list do not exist in the agent’s schema, and no amount of prompt injection or attention drift can invoke what was never provided. The security literature arrives at this conclusion through analysis of attack surfaces [shi2025progent, tramer2025patterns, pfi2025], and we implement it through the definition format rather than through a separate enforcement layer. The same mechanism operationalizes autonomy as a continuous design parameter. An NPC with a narrow Jinx list and no delegation tool operates at low autonomy, one with the delegation Jinx and a broad catalog operates at higher autonomy, and the user repositions any agent on this spectrum by editing a YAML list. That high automation and high user control are independently achievable rather than opposed [shneiderman2022hcai] is what the NPC file makes concrete, operationalizing the automation taxonomy [parasuraman2000] and the autonomy levels that require explicit tradeoffs at each stage [feng2025autonomy] through a mechanism simple enough that users actually edit it, addressing the gap that existing co-creative systems leave open [zhang2025agency].",https://arxiv.org/abs/2603.20380
Information-Theoretic Limits of Safety Verification for Self-Improving Systems,Arsenios Scrivens,Zenodo (CERN European Organization for Nuclear Research),2026-03-26,0,안전 게이트의 이론적 한계를 증명: 전력법 위험 스케줄(α>0) 하에서는 유계 위험+무계 utility의 이중 조건을 동시 만족 불가. HSIL T0 Oracle 검증의 필수성과 REGRESS의 보수적 임계값 설정에 이론적 근거를 제공.,safety gate impossibility/self-improvement limits/verification,"Extended Related Work
Self-improving AI safety. The alignment literature discusses recursive self-improvement [bostrom2014, soares2017] and concrete safety challenges [amodei2016] but lacks formal impossibility results for the safety–utility coupling. [christiano2017] propose iterated amplification; [leike2018] formalize reward modeling. Hypothesis testing and statistical tradeoffs. The Neyman–Pearson lemma [neyman1933, lehmann2005] establishes optimal ROC tradeoffs for individual tests. The novelty is sequential composition: summability constraints on force summability on . Impossibility results in learning theory. No-free-lunch theorems [wolpert1996] show no classifier dominates across all distributions. Rice [rice1953] shows undecidability of semantic properties. Our impossibility is for a specific task under distribution overlap. Information-theoretic bounds. Fano’s inequality and its refinements [raginsky2016] provide fundamental limits. The strong data processing inequality [polyanskiy2017, ahlswede1976] bounds information processing gains. PAC-Bayes and sample complexity. [mcallester1999] bound generalization via KL divergence. [vapnik1971] established VC dimension. We use VC sample complexity to show independent barriers. Adversarial robustness. [tsipras2019] prove accuracy–robustness tradeoffs. [gilmer2018] show adversarial examples are inevitable in high dimensions. Our impossibility concerns sequential composition, not per-input robustness. Transformer Lipschitz bounds. [virmaux2018] compute spectral norms. [kim2021] analyze attention Lipschitz properties. [dasoulas2021] study Lipschitz normalization. [fazlyab2019] use SDP for tight bounds. We derive bounds for LoRA perturbations specifically.",https://arxiv.org/abs/2603.28650
Weak-for-Strong: Training Weak Meta-Agent to Harness Strong Executors,"Fan Nie, Lan Feng, Haotian Ye, Weixin Liang, Pan Lu, Huaxiu Yao, Alexandre Alahi, James Zou",ArXiv.org,2025-04-07,9,약한 메타 에이전트가 강한 실행기의 워크플로를 최적화하는 W4S 프레임워크. RL을 통해 약한 모델이 강한 모델의 행동 패턴을 학습→워크플로를 반복 개선.HSIL PROPOSE의 '제안 에이전트가 하네스 수정안 생성'과 구조적으로 유사.,weak-for-strong/meta-agent/workflow optimization,"Figure 2 :

2
Figure 2: (a) The weak meta-agent harness strong models by optimizing the workflows iteratively based on task and environment feedback.(b) To collect effective data for offline RL training, the meta-agent will sample m times in each iteration, and using the best samples to form the next state.The data form multi-turn trajectories for offline RL training.",https://arxiv.org/abs/2504.04785
Trajectory-Informed Memory Generation for Self-Improving Agent Systems,"Gaodan Fang, Vatche Isahagian, K. R. Jayaram, Ritesh Kumar, Vinod Muthusamy, Punleuk Oum, Gegi Thomas",arXiv (Cornell University),2026-03-11,0,궤적에서 전략/회복/최적화 팁을 자동 추출하는 프레임워크. 즉각원인→근접원인→근원원인의 3단계 인과 귀속이 HSIL ATTRIB과 직접 대응. 컨텍스트 인식 검색(시맨틱 유사도+메타데이터 필터+우선순위)도 PLAYBOOK의 지식 활용과 연관.,trajectory mining/causal attribution/memory retrieval,"Introduction
1Introduction Large Language Model (LLM) powered agents have enabled increasingly sophisticated automation of tasks ranging from web navigation to API orchestration. These agents operate by iteratively reasoning about tasks, selecting actions, executing them, and observing results. However, a fundamental limitation persists: Agents have amnesia because most LLMs are stateless. Agents lack systematic mechanisms to learn from their execution experiences [zhang2024survey, du2025rethinking]. An agent that struggles with a particular API authentication flow today will struggle with the same flow tomorrow unless its prompts are manually updated. An agent that discovers an efficient strategy for a task cannot automatically apply that strategy to similar future tasks. An agent that successfully recovers from an error provides no benefit to future executions that encounter similar errors. Consider a simple e-commerce task: adding items to a shopping cart and completing checkout. An agent might successfully complete this task but do so inefficiently—for instance, by calling amazon_remove_from_cart(item_id) in a loop to empty the cart when a single amazon_empty_cart() call would suffice. In another execution, the agent might fail entirely because it attempts checkout without first adding a payment method, then successfully recover by recognizing the error and adding payment information. In yet another execution, the agent might execute the task cleanly from the start by systematically verifying prerequisites before each operation. Each of these trajectories contains valuable learnings (for future executions), but of different types. The inefficient success suggests an optimization tip: when emptying a cart with multiple items, use the bulk operation rather than iterating through individual removals. The failure-then-recovery suggests a recovery tip: when checkout fails due to missing payment method, verify payment information is configured before retrying. The clean success suggests a strategy tip: before initiating checkout operations, systematically verify all prerequisites including cart contents, shipping address, and payment method availability. Current approaches to agent improvement are inadequate for capturing these diverse learning opportunities. Rule-based systems require developers to manually anticipate patterns and encode them as decision rules, making them brittle and unable to adapt to unforeseen situations. Prompt engineering improves common patterns through iteratively refined instructions and examples, but this guidance is generic rather than specific to actual deployment experiences, and there is no mechanism for automatic improvement based on observed outcomes. Generic memory systems [chhikara2025mem0, xu2025amem] store facts extracted from conversations in vector databases for later retrieval, but these systems lack several critical capabilities: they have no understanding of agent execution patterns and reasoning flows, they cannot perform causal analysis to identify which decisions led to failures or inefficiencies, they lack structured learning extraction with categories like strategy, recovery, and optimization, and they provide no provenance tracking from learnings back to source trajectories. Recent work has begun extracting reusable knowledge from agent trajectories—including workflows from successful executions [wang2024awm, feng2025agentrr], procedural instructions [fang2025memp], reasoning strategies [cai2025reasoningbank], and evolving context playbooks [zhang2025ace]—but these approaches typically learn only from successful trajectories, lack explicit causal attribution of failures, or produce monolithic documents rather than structured, retrievable memory entries. Empirical studies further demonstrate that naive experience accumulation leads to error propagation and misaligned replay [xiong2025memory], underscoring the need for quality-aware memory curation. We present a framework that addresses these limitations through trajectory-informed memory generation and retrieval. Our key insight is that agent execution histories—trajectories—contain rich semantic information about not just what happened, but why agents made decisions, how they reasoned about tasks, which strategies succeeded, which patterns proved inefficient, and where decision chains led to failures and recoveries. By analyzing these trajectories with semantic understanding, we can automatically extract actionable learnings across multiple categories, attribute failures and inefficiencies to specific decisions and reasoning steps, generate context-aware guidance, and retrieve relevant learnings based on multiple contextual dimensions. Our contributions are as follows: We introduce trajectory intelligence extraction that moves beyond raw logging to semantic understanding of agent reasoning patterns, including analytical thoughts, planning patterns, validation behaviors, reflection patterns, and self-correction sequences. We present automated decision attribution that distinguishes immediate causes, proximate causes, and root causes of failures, while also identifying which decisions led to successful recoveries and which execution patterns prove inefficient despite succeeding. We develop contextual learning generation that produces three distinct types of guidance: strategy tips encoding successful patterns from clean executions, recovery tips capturing failure handling and error correction approaches, and optimization tips identifying efficiency improvements from successful but suboptimal executions. We design adaptive memory retrieval that combines semantic similarity with metadata filtering and priority-based ranking to ensure agents receive the most relevant guidance for their specific context, including task type, domain, and execution patterns. We demonstrate the framework’s effectiveness on the AppWorld benchmark, showing consistent improvements across all difficulty levels, with particularly strong gains on complex tasks where learned experience is most valuable.",https://arxiv.org/abs/2603.10600
Securing AI Agent Execution,"Christoph Bühler, Matteo Biagiola, Luca Di Grazia, Guido Salvaneschi",ArXiv.org,2025-10-24,7,"MCP 서버용 선언적 권한 매니페스트(AgentManifest).제네릭 권한→런타임 권한 세분화, 사용자 동의 대화상자, 자동 매니페스트 생성. HSIL MERGE의 '수정 가변성 티어'와 권한 승인 프로토콜이 정합함.",permission manifest/runtime permissions/consent dialog,"Large Language Models (LLMs) have evolved into AI agents that interact with external tools and environments to perform complex tasks. The Model Context Protocol (MCP) has become the de facto standard for connecting agents with such resources, but security has lagged behind: thousands of MCP servers execute with unrestricted access to host systems, creating a broad attack surface. In this paper, we introduce AgentBound, the first access control framework for MCP servers. AgentBound combines a declarative policy mechanism, inspired by the Android permission model, with a policy enforcement engine that contains malicious behavior without requiring MCP server modifications. We build a dataset containing the 296 most popular MCP servers, and show that access control policies can be generated automatically from source code with 80.9% accuracy. We also show that AgentBound blocks the majority of security threats in several malicious MCP servers, and that policy enforcement engine introduces negligible overhead. Our contributions provide developers and project managers with a practical foundation for securing MCP servers while maintaining productivity, enabling researchers and tool builders to explore new directions for declarative access control and MCP security.",https://arxiv.org/abs/2510.21236
